course_code,title,due_at,weight
FECO303,Lab 6 report: RAG pipeline,2026-10-09 23:59,0.1
FECO303,Lab 7 report: tool calling,2026-10-16 23:59,0.1
FECO303,Capstone proposal,2026-10-23 23:59,0.15
FECS329,IAM policy exercise,2026-10-08 23:59,0.1
FECS329,Cost-control report,2026-10-21 23:59,0.1
FESE311,Test plan draft,2026-10-12 23:59,0.15
FESE308,UI prototype,2026-10-14 23:59,0.2
FESE305,Architecture decision record,2026-10-19 23:59,0.15
FECO301,Clustering notebook,2026-10-13 23:59,0.1
FEGE201,Technical memo,2026-10-07 23:59,0.1
