account_id,course_code
A0001,FECO301
A0001,FECO303
A0001,FECS329
A0002,FECO303
A0002,FEGE201
A0002,FESE305
A0002,FESE311
A0003,FECO303
A0003,FECS329
A0003,FESE308
A0003,FESE311
A0004,FECO301
A0004,FECO303
A0004,FESE305
A0005,FECO303
A0005,FECS329
A0005,FEGE201
A0005,FESE311
A0006,FECO303
A0006,FESE305
A0006,FESE308
A0006,FESE311
A0007,FECO301
A0007,FECO303
A0007,FECS329
A0008,FECO303
A0008,FEGE201
A0008,FESE305
A0008,FESE311
A0009,FECO303
A0009,FECS329
A0009,FESE308
A0009,FESE311
A0010,FECO301
A0010,FECO303
A0010,FESE305
A0011,FECO303
A0011,FECS329
A0011,FEGE201
A0011,FESE311
A0012,FECO303
A0012,FESE305
A0012,FESE308
A0012,FESE311
A0013,FECO301
A0013,FECO303
A0013,FECS329
A0014,FECO303
A0014,FEGE201
A0014,FESE305
A0014,FESE311
A0015,FECO303
A0015,FECS329
A0015,FESE308
A0015,FESE311
A0016,FECO301
A0016,FECO303
A0016,FESE305
A0017,FECO303
A0017,FECS329
A0017,FEGE201
A0017,FESE311
A0018,FECO303
A0018,FESE305
A0018,FESE308
A0018,FESE311
A0019,FECO301
A0019,FECO303
A0019,FECS329
A0020,FECO303
A0020,FEGE201
A0020,FESE305
A0020,FESE311
